,Subject.area
126,BSc Biotechnology and Health Research
127,B.Sc. Microbiology and Biotechnology
128,Biology
129,Ecology and Evolutionary Genomics
130,Biology
131,Mechanical Engineering and Applied Mechanics (undergrad); inflammatory memory and NGS (present)
132,Quantitative Biology/Computational Biology
133,Biomedical technology
134,Major: Biomedical Informatics/Current program: Cell and Molecular Biology/Area: Bioinformatics
135,Statistics
136,Computational Biochemistry/Cancer Genomics
137,Human Genetics
138,Computational Biology
139,Bioinformatics
140,Genome Science and Technology/Single Cell Genomics
141,Molecular Biology and Genetics
142,Computational Neuroscience
143,Bioinformatics
144,Neuropharmacology
145,Bioinformatics
146,PhD in Biomedical sciences/ MSCR( Masters of Science in clinical research) with Bioinformatic minor
147,"Applied Math, Biomedical Engineering, Spatial Transcriptomics"
148,Precision Medicine Oncology
149,Computational Biophysics
150,Microbiology and Molecular Genetics /Bioinformatics
151,Entomology
152,Computational Medicine & Bioinformatics
153,Quantitative Genetics
154,Biostatistics
155,Cell biology and genetics
156,"Bioinformatics, Genomics, e-learning"
157,Cancer Genomics
158,Computer science
159,MIS -Management Infornmation Systems
160,Software engineering
161,Machine Learning
162,"Systems Bioinformatics, Drug discovery"
163,PhD Candidate (Medicine): project in cardiovascular genetics
164,Bioinformatics and Biomedical informatics
165,Computer Science
166,Computer Science
167,Animal Ecology
168,Biomolecular Engineering
169,Molecular genetics and Lifecourse Epidemiology
170,Human genomics and genetics
171,Immunology and Infectious Disease
172,"Biology, Parasitology, computational biology"
173,Forensic Science/Biology (Chemistry Minor)
174,Biomedical Engineering
175,Genetics
176,Biotechnology
177,Computer Science
178,Bioinformatics and Systems Biology
179,Computer Science / Bioinformatics
180,Immunology Data Science
181,Human and Statistical Genetics
182,ML healthcare
183,"RNA processing, Chromatin biology, Gene expression"
184,Neuropharmacology
185,Cell and Molecular Biology: Genetics & Epigenetics; Environmental Toxicology
186,Statistics
187,Bsc Physics
188,Bioinformatics
189,Pharmaceutical Biotechnology
190,Molecular & Medical Genetics
191,Healthcare Informatics
192,Bioinformatics
193,Bioinformatics
194,Bioinformatics
195,Bioinformatics
196,MSc Bioinformatics/ Bsc Biochemistry
197,Molecular Biophysics
198,Conservation Science/ Heritage Management
199,Biology/Computer Science
200,"Comparative Genomics, Computational RNA Biology"
201,Biochemistry
202,Bioinformatics
203,Microbiology/Bioinformatics/Microbiome/Respiratory Microbiome in Asthma and COPD
204,Computational Systems Physiology
205,Biotechnology specializing in Bioinformatics
206,"Trichology, Bioinformatics"
207,Bioinformatics
208,Bioinformatics
209,Biostatistics
210,Cancer Genomics
211,Computational Epidemiology/Mathematical Modeling
212,Systems Modeling and Analysis/Mathematical Biology
213,Phylogenetics| Viruses | Genomics
214,Chemical and Biochemical Engineering
215,Molecular biology and bioinformatics
216,Neurogenetics/Computational Genomics
217,Bioengineering
218,Molecular Biology and Bioinformatics | Science Communication
219,Microbiome/ Bioinformatics
220,Plant Genetics and Molecular Biology
221,Biochemistry
222,Bioinformatics
223,Genetics/Epigenetics/DOHAD
224,Clinical Science & Immunology (topic is based on the identification of host transcriptomic signatures that reflect the host immune responses and are able to distinguish between TB and other respiratory diseases)
225,Biophysics/ Structral Biology of Membrane Proteins
226,Epidemiology
227,Immunology
228,Biophysics
229,Applied Mathematics and Biology
230,Genomics & Computational Biology
231,Neuroscience
232,BS in Kinesiology but pursuing grad study in Computational Neuroscience
233,Bioinformatics/Metabolomics
